pressure,temperature,dewpoint,u_wind,v_wind,altitude
602.8,2.36,-5.3,-27.224,-27.224,1474.7
602.4,2.3,-5.3,-27.365,-27.365,1480.0
602.0,2.24,-5.3,-27.022,-27.982,1485.4
601.6,2.19,-5.3,-27.231,-28.198,1490.7
601.2,2.13,-5.3,-27.37,-28.342,1496.0
600.8,2.07,-5.3,-27.37,-28.342,1501.4
600.4,2.02,-5.3,-27.37,-28.342,1506.7
600.0,1.96,-5.3,-27.3,-28.27,1512.1
599.6,1.9,-5.3,-27.3,-28.27,1517.4
599.2,1.85,-5.3,-27.231,-28.198,1522.8
598.8,1.8,-5.3,-27.231,-28.198,1528.1
598.4,1.74,-5.3,-27.161,-28.126,1533.5
598.0,1.69,-5.3,-26.666,-28.596,1538.8
597.6,1.64,-5.3,-26.598,-28.523,1544.2
597.2,1.58,-5.3,-26.598,-28.523,1549.5
596.8,1.53,-5.3,-26.53,-28.45,1555.0
596.4,1.48,-5.3,-26.53,-28.45,1561.0
595.9,1.43,-5.3,-26.462,-28.377,1567.0
595.5,1.37,-5.3,-26.393,-28.303,1573.0
595.1,1.32,-5.3,-26.393,-28.303,1579.0
594.6,1.27,-5.3,-26.325,-28.23,1585.0
594.2,1.22,-5.3,-26.325,-28.23,1591.0
593.7,1.16,-5.3,-26.257,-28.157,1597.0
593.3,1.11,-5.3,-26.257,-28.157,1603.0
592.8,1.06,-5.3,-26.189,-28.084,1609.0
592.4,1.0,-5.3,-26.189,-28.084,1615.0
592.0,0.95,-5.4,-26.675,-27.623,1621.0
591.5,0.9,-5.4,-27.082,-27.082,1627.0
591.1,0.84,-5.4,-27.623,-26.675,1633.0
590.6,0.79,-5.4,-28.084,-26.189,1639.0
590.2,0.73,-5.5,-28.537,-25.695,1644.9
589.8,0.68,-5.5,-28.981,-25.193,1650.9
589.3,0.63,-5.5,-29.493,-24.747,1656.9
588.9,0.57,-5.5,-29.92,-24.229,1662.9
588.4,0.52,-5.5,-30.417,-23.765,1668.9
588.0,0.46,-5.6,-30.907,-23.29,1674.9
587.6,0.41,-5.6,-31.39,-22.806,1680.9
587.1,0.36,-5.6,-31.865,-22.312,1686.9
586.7,0.3,-5.6,-32.332,-21.809,1692.9
586.3,0.25,-5.7,-32.876,-21.35,1698.9
585.8,0.19,-5.7,-33.328,-20.826,1704.9
585.4,0.14,-5.7,-33.858,-20.344,1710.9
585.0,0.11,-5.7,-34.295,-19.8,1716.9
584.5,0.07,-5.7,-34.81,-19.295,1722.9
584.1,0.03,-5.7,-35.318,-18.779,1728.9
583.7,-0.01,-5.7,-35.818,-18.25,1734.9
583.3,-0.05,-5.8,-36.311,-17.71,1739.8
582.9,-0.08,-5.8,-36.311,-17.71,1744.3
582.6,-0.12,-5.8,-36.401,-17.754,1748.9
582.3,-0.16,-5.8,-36.401,-17.754,1753.5
581.9,-0.2,-5.8,-36.796,-17.158,1758.0
581.6,-0.23,-5.8,-36.796,-17.158,1762.6
581.3,-0.27,-5.8,-36.887,-17.201,1767.1
581.0,-0.31,-5.8,-36.887,-17.201,1771.7
580.6,-0.35,-5.8,-36.977,-17.243,1776.3
580.3,-0.39,-5.8,-37.273,-16.595,1780.8
580.0,-0.42,-5.8,-37.273,-16.595,1785.4
579.6,-0.46,-5.8,-37.364,-16.636,1790.0
579.3,-0.5,-5.9,-37.364,-16.636,1794.5
579.0,-0.53,-5.9,-37.455,-16.676,1799.1
578.6,-0.57,-5.9,-37.741,-16.02,1803.7
578.3,-0.61,-6.0,-37.833,-16.059,1808.2
578.0,-0.64,-6.0,-37.925,-16.098,1812.8
577.7,-0.68,-6.1,-37.925,-16.098,1817.3
577.3,-0.72,-6.1,-38.017,-16.137,1821.9
577.0,-0.75,-6.2,-38.293,-15.471,1826.5
576.7,-0.79,-6.2,-38.385,-15.509,1831.0
576.3,-0.83,-6.2,-38.293,-16.254,1835.6
576.0,-0.86,-6.3,-38.477,-16.333,1840.2
575.7,-0.9,-6.3,-38.369,-17.083,1844.7
575.4,-0.94,-6.4,-38.643,-17.205,1849.3
575.0,-0.97,-6.4,-38.826,-17.286,1853.9
574.7,-1.01,-6.5,-38.79,-18.088,1858.4
574.4,-1.04,-6.5,-38.971,-18.173,1863.0
574.1,-1.09,-6.5,-38.918,-18.981,1867.5
573.8,-1.13,-6.6,-39.098,-19.069,1872.1
573.5,-1.17,-6.6,-39.026,-19.885,1875.4
573.3,-1.21,-6.6,-39.204,-19.976,1878.4
573.1,-1.25,-6.6,-39.472,-20.112,1881.3
572.8,-1.29,-6.6,-39.379,-20.938,1884.3
572.6,-1.34,-6.7,-39.556,-21.032,1887.2
572.4,-1.38,-6.7,-39.445,-21.865,1890.2
572.2,-1.42,-6.7,-39.708,-22.01,1893.1
572.0,-1.46,-6.7,-39.883,-22.107,1896.1
571.8,-1.5,-6.7,-39.751,-22.95,1899.0
571.6,-1.54,-6.7,-40.01,-23.1,1902.0
571.4,-1.59,-6.7,-40.27,-23.25,1904.9
571.2,-1.63,-6.7,-40.03,-24.052,1907.9
570.9,-1.67,-6.7,-40.03,-24.052,1910.8
570.7,-1.71,-6.7,-39.944,-24.001,1913.8
570.5,-1.73,-6.7,-39.944,-24.001,1916.7
570.3,-1.74,-6.7,-39.944,-24.001,1919.7
570.1,-1.76,-6.6,-39.944,-24.001,1922.6
569.9,-1.77,-6.6,-39.434,-24.641,1925.6
569.7,-1.79,-6.6,-39.434,-24.641,1928.5
569.5,-1.8,-6.6,-39.434,-24.641,1931.5
569.3,-1.81,-6.6,-39.434,-24.641,1934.4
569.0,-1.83,-6.6,-39.349,-24.588,1937.3
568.8,-1.84,-6.6,-39.349,-24.588,1940.3
568.6,-1.85,-6.6,-39.349,-24.588,1943.2
568.4,-1.87,-6.6,-39.349,-24.588,1946.2
568.2,-1.88,-6.7,-39.265,-24.535,1949.1
568.0,-1.9,-6.7,-38.83,-25.217,1952.1
567.8,-1.91,-6.7,-38.83,-25.217,1955.0
567.7,-1.92,-6.7,-38.83,-25.217,1958.0
567.5,-1.94,-6.7,-38.83,-25.217,1960.9
567.3,-1.95,-6.7,-38.747,-25.162,1962.0
567.2,-1.98,-6.7,-38.747,-25.162,1962.9
567.1,-2.02,-6.7,-39.265,-24.535,1964.2
567.0,-2.06,-7.0,-40.097,-23.15,1965.5
566.9,-2.1,-7.4,-40.582,-22.495,1966.8
566.8,-2.15,-8.0,-41.521,-21.156,1968.5
566.7,-2.13,-8.3,-42.064,-20.516,1969.9
566.6,-2.1,-8.7,-42.596,-19.863,1971.2
566.5,-2.06,-9.0,-42.754,-19.035,1972.5
566.4,-2.01,-9.4,-42.389,-18.873,1974.2
566.3,-1.93,-9.8,-41.932,-18.669,1975.2
566.2,-1.49,-10.7,-41.292,-18.384,1976.6
566.1,-1.46,-11.3,-41.566,-18.507,1977.7
566.0,-1.46,-11.4,-41.418,-19.314,1979.5
565.9,-1.46,-11.5,-41.749,-18.588,1981.3
565.8,-1.47,-11.5,-41.84,-18.629,1983.0
565.7,-1.47,-11.5,-41.84,-18.629,1983.9
565.6,-1.48,-11.5,-41.932,-18.669,1985.6
565.5,-1.48,-11.5,-41.932,-18.669,1986.4
565.4,-1.49,-11.5,-42.343,-17.974,1988.2
565.3,-1.5,-11.5,-42.343,-17.974,1989.9
565.2,-1.51,-11.5,-42.343,-17.974,1990.8
565.1,-1.52,-11.6,-42.435,-18.013,1992.5
565.0,-1.52,-11.6,-42.836,-17.307,1994.2
564.9,-1.53,-11.6,-42.836,-17.307,1995.1
564.8,-1.52,-11.6,-42.836,-17.307,1996.8
564.7,-1.51,-11.7,-43.225,-16.592,1998.5
564.6,-1.51,-11.7,-43.131,-16.557,1999.4
564.5,-1.5,-11.7,-43.038,-16.521,2001.1
564.4,-1.5,-11.7,-42.945,-16.485,2002.0
564.3,-1.49,-11.8,-42.851,-16.449,2003.7
